Symbol,Date,Announcement_Type,Details,Sentiment,Expected_Price_Impact,Importance,Sector,updated_at
PREMIERCEM,2026-04-30,Other,"Mr. Mohammed Almas Shimul, a Sponsor of the Company, has completed transfer of his entire holdings of 22,04,375 shares of the company to his wife Ms. Farjana Sharmin Mukta (12,04,375), his son Mr. Saiham Sadik Pial (5,00,000 shares), his daughter Ms. Sobha Soha (5,00,000 shares), all are General Shareholders of the Company, by way of gift outside the trading system through Chittagong Stock Exchange (CSE) as per declaration disseminated on 27.04.2026.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-30,Other,"(Q3 Un-audited): Consolidated EPS was Tk. 1.80 for January-March 2026 as against Tk. 0.31 for January-March 2025; Consolidated EPS was Tk. 1.99 for July 2025-March 2026 as against Tk. 0.67 for July 2024-March 2025. Consolidated NOCFPS was Tk. 4.62 for July 2025-March 2026 as against Tk. 6.08 for July 2024-March 2025. Consolidated NAV per share was Tk. 65.50 as on March 31, 2026 and Tk. 64.50 as on June 30, 2025.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-27,Other,"Mr. Mohammed Almas Shimul, a Sponsor of the Company, has reported his intention to transfer his entire holdings of 22,04,375 shares to his wife Ms. Farjana Sharmin Mukta (12,04,375 shares), his son Mr. Saiham Sadik Pial (5,00,000 shares), his daughter Ms. Sobha Soha (5,00,000 shares), all are General Shareholders of the Company, by way of gift outside the trading system of the Exchange within April 30, 2026 from the date of issuance of approval letter by CSE.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-27,Other,"Mr. Mohammed Almas Shimul, a Sponsor of the Company, has reported his intention to transfer his entire holdings of 22,04,375 shares to his wife Ms. Farjana Sharmin Mukta (12,04,375 shares), his son Mr. Saiham Sadik Pial (5,00,000 shares), his daughter Ms. Sobha Soha (5,00,000 shares), all are General Shareholders of the Company, by way of gift outside the trading system of the Exchange within April 30, 2026 from the date of issuance of approval letter by CSE.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-27,Other,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 29, 2026 at 4:00 pm to consider, among others, Un-Audited Financial Statements for the Third Quarter (Q3) period ended March 31, 2026.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-27,Other,"As per Regulation 16(1) of the Dhaka Stock Exchange (Listing) Regulations, 2015, the Company has informed that a meeting of the Board of Directors will be held on April 29, 2026 at 4:00 pm to consider, among others, Un-Audited Financial Statements for the Third Quarter (Q3) period ended March 31, 2026.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-22,Other,"Mr. Mohammed Jahangir Alam, a Sponsor Director of the Company, has further informed that he has completed his transfer of 45,00,000 shares of the Company to his wife Mrs. Masuma Begum (5,62,500 shares), his daughter Ms. Sadman Syka Sefa (13,12,500 shares) and his Son Mr. Salehin Musfique Sadaf (26,25,000 shares), all are General Shareholders of the Company, by way of gift outside the trading system through Chittagong Stock Exchange (CSE) as per declaration disseminated on 16.04.2026.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-22,Other,"Mr. Mohammed Jahangir Alam, a Sponsor Director of the Company, has further informed that he has completed his transfer of 45,00,000 shares of the Company to his wife Mrs. Masuma Begum (5,62,500 shares), his daughter Ms. Sadman Syka Sefa (13,12,500 shares) and his Son Mr. Salehin Musfique Sadaf (26,25,000 shares), all are General Shareholders of the Company, by way of gift outside the trading system through Chittagong Stock Exchange (CSE) as per declaration disseminated on 16.04.2026.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-16,Other,"(Continuation news of PREMIERCEM): all are General Shareholders of the Company, by way of gift outside the trading system of the Exchange within April 30, 2026 from the date of issuance of approval letter by CSE. (end)",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
PREMIERCEM,2026-04-16,Other,"(Continuation news of PREMIERCEM): all are General Shareholders of the Company, by way of gift outside the trading system of the Exchange within April 30, 2026 from the date of issuance of approval letter by CSE. (end)",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
ATLASBANG,2026-04-09,Other,"(Q3 Un-audited): EPS was Tk. (0.21) for January-March 2026 as against Tk. (0.27) for January-March 2025; EPS was Tk. (0.68) for July 2025-March 2026 as against Tk. (0.82) for July 2024-March 2025. NOCFPS was Tk. (1.17) for July 2025-March 2026 as against Tk. (1.38) for July 2024-March 2025. NAV per share was Tk. 120.00 as on March 31, 2026 and Tk. 121.00 as on June 30, 2025.",neutral,,Medium,,2026-05-02 05:26:49.329169+00:00
