Symbol,Sector,LTP,Open,High,Low,Close,YCP,Change,% Change,Volume(Qty),Value(Turnover),EPS
ABBANK,Bank,5.60,5.90,6.00,5.60,5.60,5.90,-0.30,-5.08,1329514,7.625,-34.61
ALARABANK,Bank,16.20,16.00,16.20,15.50,16.00,15.70,0.30,1.91,49913,0.787,0.34
BANKASIA,Bank,21.10,21.40,21.70,21.00,21.10,21.60,-0.50,-2.31,634174,13.392,2.58
BRACBANK,Bank,67.30,69.80,69.80,67.10,67.30,69.50,-2.20,-3.17,972351,65.877,6.09
CITYBANK,Bank,29.60,30.20,30.20,29.40,29.60,30.20,-0.60,-1.99,2275935,67.682,4.75
DHAKABANK,Bank,12.10,12.40,12.40,12.10,12.10,12.40,-0.30,-2.42,1558432,18.959,1.33
DUTCHBANGL,Bank,41.00,41.30,41.30,40.70,41.00,41.70,-0.70,-1.68,82249,3.379,2.65
EBL,Bank,26.10,26.50,26.50,26.00,26.10,26.60,-0.50,-1.88,715622,18.717,3.66
EXIMBANK,Bank,,,,,3.00,3.00,0.00,0.00,0,0,-2.17
FIRSTSBANK,Bank,,,,,1.90,1.90,0.00,0.00,0,0,-476.57
GIB,Bank,,,,,1.70,1.70,0.00,0.00,0,0,-22.63
ICBIBANK,Bank,3.00,3.00,3.10,3.00,3.00,3.00,0.00,0.00,234471,0.711,-0.69
IFIC,Bank,5.20,5.40,5.40,5.10,5.20,5.40,-0.20,-3.70,3711985,19.418,-9.40
ISLAMIBANK,Bank,38.60,40.00,40.00,38.40,38.60,39.90,-1.30,-3.26,303179,11.754,0.62
JAMUNABANK,Bank,22.20,22.50,22.60,22.20,22.20,22.70,-0.50,-2.20,1344497,30.011,4.44
MERCANBANK,Bank,8.50,8.60,8.60,8.40,8.40,8.60,-0.20,-2.33,609036,5.154,1.87
MIDLANDBNK,Bank,15.60,15.90,16.00,15.50,15.60,15.90,-0.30,-1.89,954353,14.969,0.60
MTB,Bank,12.50,12.70,12.70,12.40,12.50,12.70,-0.20,-1.57,449610,5.63,1.88
NBL,Bank,4.30,4.70,4.70,4.30,4.30,4.70,-0.40,-8.51,2866097,12.648,-4.50
NCCBANK,Bank,12.70,12.80,12.80,12.70,12.70,12.80,-0.10,-0.78,474539,6.038,1.56
NRBBANK,Bank,6.90,7.00,7.10,6.90,6.90,7.00,-0.10,-1.43,420134,2.92,-2.01
NRBCBANK,Bank,7.00,7.00,7.10,6.90,7.00,7.00,0.00,0.00,586067,4.101,0.10
