Symbol,,Sector,LTP,Open,High,Low,Close,YCP,Change,% Change,Volume(Qty),Value(Turnover),Market Category,Audited PE,Forward PE,Free Float,Director Holdings,Govt. Holdings,Institute Holdings,Foreign Holdings,Public Holdings,Market Capitalization (mn),Paid Up Capital (mn),Last Dividend Declaration Date,Last AGM Date,Dividend Yield(%),Cash Dividend,Stock Dividend,EPS,NAV(Quarter End),RSI(14),Turnover Velocity(22),Beta(5)
ABBANK,"Buy
Sell",Bank,6.60,6.70,6.80,6.50,6.60,6.50,0.10,1.54,4312238,28.772,B,0,0,80.48,18.95,0.57,34.52,0.54,45.42,5911.59,8956.95,01-Jun-2025,05-Aug-2025,-,-,-,-34.61,-27.36,69.40,102.50,1.82
ALARABANK,"Buy
Sell",Bank,16.60,16.40,16.70,16.40,16.60,16.30,0.30,1.84,699509,11.613,A,24.7,35.96,84.89,15.11,0.00,26.05,0.04,58.80,19118.08,11516.92,29-May-2025,14-Aug-2025,-,-,-,0.34,20.86,58.25,22.60,0.62
BANKASIA,"Buy
Sell",Bank,,,,,21.90,21.90,0.00,0.00,0,0,A,10.23,6.37,49.30,50.7,0.00,38.84,0.00,10.46,28086.70,12824.98,04-May-2025,17-Jun-2025,4.57,10.00,10.00,2.58,29.28,0.00,0.00,0.00
BRACBANK,"Buy
Sell",Bank,87.50,89.10,89.20,86.60,87.50,89.10,-1.60,-1.80,2977472,261.222,A,12.82,10.97,53.83,46.17,0.00,11.59,36.05,6.19,174206.04,19909.26,29-Apr-2025,19-Jun-2025,1.43,12.50,12.50,6.09,51.73,76.75,30.67,1.00
CITYBANK,"Buy
Sell",Bank,33.00,32.20,33.50,32.20,33.00,32.20,0.80,2.48,15857673,524.355,A,4.28,5.08,69.63,30.37,0.00,19.71,5.07,44.85,50200.33,15212.22,30-Apr-2025,29-Jun-2025,3.79,12.50,12.50,4.75,38.09,86.55,132.89,1.04
DHAKABANK,"Buy
Sell",Bank,14.00,13.90,14.20,13.90,14.00,13.80,0.20,1.45,7477126,104.781,A,10.87,7.78,58.91,41.09,0.00,12.39,0.00,46.52,14797.05,10569.32,29-May-2025,31-Jul-2025,3.57,5.00,5.00,1.33,22.94,59.71,212.30,1.08
DUTCHBANGL,"Buy
Sell",Bank,43.80,42.70,45.00,42.70,43.80,42.40,1.40,3.30,1356536,59.633,A,7.87,12,16.44,83.56,0.00,6.91,0.03,9.50,42341.51,9667.01,30-Apr-2025,19-Jun-2025,2.28,10.00,10.00,2.65,55.00,68.25,12.75,0.77
EBL,"Buy
Sell",Bank,28.70,28.40,28.90,28.20,28.70,28.10,0.60,2.14,5723187,163.789,A,5.78,5.76,68.56,31.44,0.00,41.15,0.67,26.74,45799.84,15958.13,25-Mar-2025,21-May-2025,6.10,17.50,17.50,3.66,29.53,80.79,45.04,0.51
EXIMBANK,"Buy
Sell",Bank,,,,,3.00,3.00,0.00,0.00,0,0,A,16.67,0,69.56,30.44,0.00,27.45,0.46,41.65,4342.67,14475.57,29-May-2025,28-Aug-2025,-,-,-,-2.17,19.54,0.00,0.00,0.00
FIRSTSBANK,"Buy
Sell",Bank,,,,,1.90,1.90,0.00,0.00,0,0,Z,0.67,0,94.10,5.9,0.00,28.21,0.15,65.74,2295.46,12081.39,01-Jun-2025,15-Sep-2025,-,-,-,-476.57,-460.18,0.00,0.00,0.00
